回答日,名前,満足度,カテゴリ,良かった点,改善してほしい点,次回参加希望
2026-01-15,Aさん,5,内容,実践的で分かりやすかった,特になし,はい
2026-01-15,Bさん,4,内容,ハンズオンが楽しかった,もう少し時間がほしい,はい
2026-01-15,Cさん,3,運営,テーマは良かった,音声が聞き取りにくい時があった,はい
2026-01-15,Dさん,5,内容,初心者でもついていけた,特になし,はい
2026-01-15,Eさん,4,講師,説明が丁寧だった,資料を事前に共有してほしい,はい
2026-01-15,Fさん,2,運営,内容が難しすぎた,レベル別にしてほしい,いいえ
2026-01-15,Gさん,5,内容,具体例が多くて良かった,特になし,はい
2026-01-15,Hさん,4,講師,質問に丁寧に答えてくれた,時間が足りなかった,はい
2026-01-15,Iさん,3,運営,テーマ選定は良い,Zoomのブレイクアウトルームがうまく動かなかった,はい
2026-01-15,Jさん,5,内容,仕事にすぐ使える内容だった,特になし,はい
2026-01-15,Kさん,4,内容,AIの活用方法が具体的だった,応用編もやってほしい,はい
2026-01-15,Lさん,4,講師,テンポが良かった,事前準備の案内がもう少し早いとよかった,はい
2026-01-15,Mさん,5,内容,非エンジニアでも理解できた,特になし,はい
2026-01-15,Nさん,3,運営,内容は良かったが長かった,90分で収まるようにしてほしい,はい
2026-01-15,Oさん,4,内容,デモが印象的だった,もっとデモを見たい,はい
2026-01-15,Pさん,5,講師,分かりやすい言葉で説明してくれた,特になし,はい
2026-01-15,Qさん,2,運営,ネットワークが不安定だった,オフライン開催も検討してほしい,いいえ
2026-01-15,Rさん,4,内容,新しい発見があった,復習用の動画がほしい,はい
2026-01-15,Sさん,5,内容,実務に直結する内容だった,特になし,はい
2026-01-15,Tさん,4,講師,参加者の質問をうまく拾っていた,チャットの質問にも対応してほしい,はい
